CDP Name, Total Housing Units, Seasonal Housing Units,  % Seasonal,Occupied Housing Units (Households), Owner Occupied Units, Renter Occupied Units, % Owner Occupied, Ave. Household Size,Ave. Owner Household Size,Ave. Renter Household Size, Owner Vacancy Rate, Renter Vacancy Rate,Pop. In Owner Occupied Units,Pop. In Renter Occupied Units," Vacant Housing Units Sold, Not Occupied", Vacant Housing Units For Sale Only," Vacant Housing Units Rented, Not Occupied", Vacant Housing Units For Rent
Sayville CDP,"6,220",49,0.8%,"5,983","4,714","1,269",78.8%,0.40,0.51,0.02,0.0%,0.0%,"13,893","2,390",22,50,2,82
Selden CDP,"6,739",23,0.3%,"6,446","5,034","1,412",78.1%,0.54,0.69,0.00,0.1%,0.0%,"16,333","3,490",5,38,6,72
Setauket-East Setauket CDP,"5,589",44,0.8%,"5,391","4,896",495,90.8%,0.23,0.25,0.03,0.1%,0.0%,"14,220","1,211",17,43,5,36
Shelter Island CDP,"1,136",452,39.8%,598,456,142,76.3%,0.53,0.68,0.01,0.6%,0.0%,"1,021",312,2,13,3,39
Shelter Island Heights CDP,"1,583",981,62.0%,525,423,102,80.6%,0.40,0.49,0.01,0.9%,0.0%,841,207,1,23,4,27
Shinnecock Hills CDP,"1,500",622,41.5%,744,502,242,67.5%,1.10,1.61,0.04,0.7%,0.0%,"1,196",808,9,46,4,32
Shirley CDP,"9,022",152,1.7%,"8,353","7,050","1,303",84.4%,0.56,0.66,0.02,0.2%,0.0%,"22,943","4,630",28,143,11,95
Shoreham village,229,22,9.6%,192,177,15,92.2%,0.23,0.25,0.00,0.0%,0.0%,486,45,0,1,0,1
Smithtown CDP,"9,031",28,0.3%,"8,773","7,604","1,169",86.7%,0.25,0.29,0.01,0.1%,0.0%,"23,509","2,178",13,54,6,57
Sound Beach CDP,"3,001",127,4.2%,"2,729","2,208",521,80.9%,0.48,0.59,0.02,0.2%,0.0%,"6,270","1,308",11,35,5,31
South Huntington CDP,"3,500",12,0.3%,"3,378","2,882",496,85.3%,0.35,0.40,0.02,0.0%,0.0%,"8,047","1,165",9,31,1,42
